iter	Passed	Remaining
413	3965	5612
414	3978	5608
415	3983	5591
416	3986	5573
417	3988	5554
418	3991	5534
419	3993	5514
420	4136	5689
421	4139	5669
422	4141	5649
423	4143	5629
424	4146	5609
425	4148	5589
426	4150	5570
427	4153	5550
428	4157	5533
429	4159	5514
430	4162	5494
431	4164	5475
432	4166	5456
433	4179	5450
434	4181	5431
435	4184	5413
436	4187	5394
437	4214	5407
438	4216	5388
439	4219	5370
440	4221	5351
441	4223	5332
442	4226	5313
443	4228	5294
444	4231	5276
445	4233	5258
446	4235	5240
447	4273	5265
448	4276	5247
449	4278	5229
450	4280	5210
451	4284	5194
452	4295	5186
453	4297	5168
454	4299	5150
455	4302	5132
456	4304	5114
457	4306	5096
458	4308	5078
459	4311	5061
460	4322	5054
461	4330	5042
462	4333	5026
463	4336	5009
464	4338	4991
465	4350	4985
466	4367	4984
467	4377	4976
468	4407	4990
469	4416	4980
470	4419	4963
471	4421	4946
472	4423	4928
473	4451	4940
474	4469	4940
475	4472	4923
476	4474	4906
477	4490	4903
478	4495	4889
479	4498	4873
480	4543	4902
481	4546	4886
482	4549	4869
483	4551	4852
484	4553	4835
485	4555	4818
486	4558	4801
487	4560	4784
488	4605	4812
489	4608	4796
490	4610	4779
491	4613	4763
492	4617	4748
493	4619	4731
494	4622	4715
495	4627	4702
496	4630	4686
497	4632	4669
498	4635	4653
499	4637	4637
500	4639	4621
501	4656	4619
502	4659	4603
503	4661	4587
504	4663	4571
505	4665	4555
506	4668	4539
507	4670	4523
508	4672	4507
509	4736	4551
510	4741	4537
511	4743	4521
512	4745	4505
513	4748	4489
514	4752	4476
515	4755	4460
516	4757	4444
517	4760	4429
518	4762	4414
519	4765	4398
520	4767	4383
521	4788	4384
522	4791	4369
523	4793	4354
524	4816	4357
525	4818	4342
526	4822	4327
527	4824	4312
528	4827	4297
529	4829	4282
530	4831	4267
531	4833	4252
532	4850	4249
533	4852	4234
534	4854	4219
535	4857	4204
536	4933	4253
537	4935	4238
538	4938	4223
539	4940	4208
540	4942	4193
541	4945	4178
542	4949	4165
543	4952	4151
544	4954	4136
545	4957	4121
546	4959	4107
547	4961	4092
548	4963	4077
549	4966	4063
550	4968	4048
551	4970	4034
552	4973	4019
553	4975	4005
554	4977	3991
555	4980	3976
556	4982	3962
557	4985	3948
558	4987	3934
559	4989	3920
560	4991	3906
561	4994	3892
562	4996	3878
563	4999	3864
564	5002	3851
565	5007	3839
566	5009	3825
567	5015	3814
568	5017	3800
569	5039	3802
570	5042	3788
571	5044	3774
572	5052	3764
573	5060	3755
574	5062	3741
575	5068	3731
576	5071	3717
577	5073	3704
578	5080	3694
579	5082	3680
580	5086	3668
581	5088	3654
582	5091	3641
583	5093	3628
584	5103	3620
585	5122	3618
586	5124	3605
587	5127	3592
588	5129	3579
589	5132	3566
590	5152	3565
591	5156	3553
592	5163	3544
593	5172	3535
594	5176	3523
595	5178	3510
596	5180	3497
597	5185	3485
598	5188	3473
599	5191	3460
600	5247	3483
601	5250	3470
602	5254	3459
603	5257	3446
604	5263	3436
605	5265	3423
606	5267	3410
607	5277	3402
608	5280	3390
609	5294	3385
610	5297	3372
611	5299	3359
612	5302	3347
613	5304	3334
614	5319	3329
615	5330	3322
616	5336	3312
617	5339	3300
