iter	Logloss
479	0.1985889849
480	0.1983663159
481	0.1979247076
482	0.197447338
483	0.19708983
484	0.1968730167
485	0.196574611
486	0.1963473523
487	0.196024523
488	0.1955422374
489	0.1951280638
490	0.194889517
491	0.1946018044
492	0.1942880588
493	0.1940089852
494	0.1935530306
495	0.1933143887
496	0.1930120102
497	0.1926288525
498	0.1923427169
499	0.1920406611
500	0.1917508343
501	0.1913616989
502	0.191042413
503	0.190704494
504	0.19025786535505	0.1899261678
506	0.1894394716
507	0.1890448112
508	0.1887843758
509	0.1884131215
510	0.1880455994
511	0.1877302514
512	0.187499172
513	0.1871906875
514	0.1868578028
515	0.1865772644
516	0.1862031839
517	0.185849952
518	0.1855308453
519	0.1851286746
520	0.1846992384
521	0.1843853422
522	0.1839709321
523	0.1837523625
524	0.1834067451
525	0.1830195699
526	0.1827213059
527	0.1824103247
528	0.1819892392
529	0.1817871616
530	0.1814144788
531	0.1810116779
532	0.1807069174
533	0.18052556
534	0.18019497
535	0.1799211997
536	0.1796245488
537	0.1794006827
538	0.1791704377
539	0.1789046847
540	0.1786472327
541	0.1781109232
542	0.1777343135
543	0.1773913585
544	0.1770872599
545	0.1767656126
546	0.1765353227
547	0.1762124705
548	0.1759246928
549	0.1755919903
550	0.175231432
551	0.1749014147
552	0.1747084593
553	0.1745372464
554	0.1742339649
555	0.1738764718
556	0.1735620989
557	0.173202229
558	0.1728660555
559	0.1726628711
560	0.1723828875
561	0.1721725412
56561	0.1723697504
562	0.1720570098
563	0.1717026512
564	0.171402865566	0.1707161039
567	0.1703481726
568	0.1699923202
569	0.1697260512
570	0.1695251528
571	0.1692765855
572	0.1688609484
573	0.1685567755
574	0.1682059482
575	0.1678152618
576	0.1675699523
577	0.1673232295
578	0.1669920459
579	0.1666567635
580	0.1664922363
580	0.1667102252
581	0.1663734247
582	0.1660776289
583	0.1658590643
584	0.165561596
586	0.1642954447
587	0.1640938391
588	0.1635272864
589	0.1632762303
590	0.1630715662
591	0.1628064877
592	0.1626006849
593	0.1623400219
594	0.1620289355
595	0.1618533624
596	0.1615975238
597	0.1612243322
598	0.1609458989
599	0.1607354723
600	0.1605342196
601	0.1602789248
602	0.1600974263
603	0.1598344175
604	0.1595155021
605	0.159320341
606	0.1590484956
607	0.1587922436
608	0.1585124775
609	0.1581374477
610	0.1579563367
611	0.1575894406
612	0.1572874825
613	0.1571097259
614	0.1568622268
615	0.156659471
616	0.1565014733
617	0.1562020781
618	0.1558443265
619	0.1556965038
620	0.1555368175
621	0.1552452795
622	0.1549972097
623	0.154819725
624	0.1545344701
625	0.1542700218
626	0.1540249783
627	0.1536664096
628	0.15333902
629	0.1531233022
630	0.1529571731
631	0.1527201716
632	0.1525596795
633	0.15233302633634	0.15202050634635	0.1516990245
636	0.1514205748
637	0.1511621448
638	0.150898504
639	0.1507461079
640	0.1503952262
641	0.1500924023
642	0.1498330475
643	0.1495824485
644	0.1494163011
645	0.1491973611
646	0.1490104618
647	0.1487461876
648	0.1485859475
649	0.1483052318
650	0.1480907976
651	0.1478143509
652	0.1475621689
653	0.1473986526
654	0.1472007116
655	0.1469823145
656	0.1467482279
657	0.1465607488
658	0.146287097
659	0.1459484722
660	0.145765453
661	0.1455107476
662	0.145353921
663	0.1451645997
664	0.1448610877
665	0.1446105225
666	0.144389252
667	0.1440970193
668	0.1438505631
669	0.143643167
670	0.1434574822
671	0.1432528826
672	0.1429849445
673	0.1427586599
674	0.1425399851
675	0.1423302538
676	0.1421710079
677	0.1420196428
678	0.1418195471
679	0.1416868789
680	0.1414581557
681	0.141299113
682	0.1411248088
683	0.1409491454
684	0.1407396899
685	0.1405444454
686	0.1402403073
687	0.1399314746
688	0.1397877753
689	0.1395414263
690	0.1393546295
691	0.1391969899
692	0.138937429
693	0.1387307228
694	0.1384838027
695	0.1383134404
696	0.1380771312
697	0.1378971616
698	0.137725827
699	0.1374219253
700	0.1372480792
701	0.1370150054
702	0.136753883702	0.1366042552
703	0.1363555187
704	0.1362627241
705	0.1360693986
706	0.1358244343
707	0.1356029933
708	0.1353254515
709	0.1351560144
71711	0.1348863675
712	0.1345419139
713	0.1341904843
714	0.1339676307
715	0.1337885656
716	0.1335812106
717	0.1333758374
718	0.1331113869
719	0.1329956578
720	0.1327400453
721	0.1325078329
722	0.1322990134
723	0.1320430013
724	0.13176449724	0.1318909001
725	0.1316668055
726	0.1314005758
727	0.1311883051
728	0.1309563952
729	0.1308223294
730	0.130581993
73732	0.130179146
733	0.1300463478
734	0.1298318071
735	0.1296748206
736	0.1294446067
737	0.1292255662
738	0.129032798
739	0.1288532897
740	0.1286037832
741	0.1284886205
742	0.1283584355
743	0.1282148594
744	0.1280408512
745	0.1277190305
746	0.1273976965
747	0.1271716793
748	0.1268886641
749	0.126639374
750	0.1265019635
751	0.1262321518
752	0.1260623549
753	0.1257581333
754	0.1255143762
755	0.1253902636
756	0.1251994374
757	0.1249842095
758	0.124785711
759	0.1245428857
760	0.1243747367
761	0.1241876098
762	0.124001883
763	0.1236957576
764	0.1235594464
765	0.1234034186
766	0.1232009073
767	0.1230335421
768	0.1228722292
769	0.1226254585
770	0.1223907685
771	0.12222969
772	0.1220363935
773	0.1218310369
774	0.1216921184
775	0.121507235
776	0.1212834139
777	0.1211138217
778	0.1209444613
779	0.1208120045
780	0.1206926219
781	0.1205135839
782	0.120388552
783	0.1201628614
784	0.1200367707
785	0.1198486782
786	0.1196794782
787	0.1195135023
788	0.1193071848
789	0.1190978238
790	0.1189298941
791	0.1186134323
792	0.1184475797
793	0.1183421127
794	0.1181561655
795	0.1179673507
796	0.1177225904
797	0.1175817923
798	0.1174765313
799	0.1172103319
800	0.117044251
801	0.1168336894
802	0.116670279
803	0.116420288
804	0.1162268048
805	0.116079705
806	0.805	0.1160418609
806	0.1159455894
807	0.11577809	0.1153416681
810	0.1151301453
811	0.1149108084
812	0.1147618158
813	0.1146559171
814	0.114487023
815	0.1143484576
816	0.1141515599
817	0.113915581
818	0.1136706042
819	0.1134983599
820	0.1132761161
821	0.1131607565
822	0.1129719272
823	0.1127528327
824	0.1126301751
825	0.1125082059
826	0.1122529814
827	0.1120721086
828	0.1118936482
829	0.1117638929
830	0.1116922156
831	0.1115514312
832	0.111421094
833	0.1112755947
834	0.1111325351
835	0.1108681769
836	0.110686752
837	0.1105200937
838	0.1103850976
839	0.1102186374
840	0.1100463177
841	0.1098435299
842	0.1097317221
843	0.1096126125
844	0.1094425884
845	0.1093106831
846	0.1091577623
847	0.1089370977
848	0.1087902587
849	0.1086349841
850	0.1084539227
851	0.1081200348
852	0.1079939182
853	0.1078129157
854	0.1077224736
855	0.107613369
856	0.10747746
857	0.1073351782
858	0.1072303247
859	0.10703373
860	0.1067660545
861	0.106622183
862	0.1064015762
863	0.1062077321
864	0.1060800998
865	0.1059079273
866	0.1057154252
867	0.1055849785
868	0.1053954815
869	0.1052686073
870	0.1051240359
871	0.1049549442
872	0.1048235149
873	0.1046309882
874	0.1044966862
875	0.1043040513
876	0.1040472617
877	0.1037750514
878	0.1035771487
879	0.1033573299
880	0.1031720565
881	0.1030282369
882	0.1028549745
883	0.1026310196
884	0.1025580915
885	0.1024434384
886	0.1021702056
887	0.10197236
888	0.1017517849
889	0.1015998316
890	0.1014163282
891	0.1012748423
892	0.1011668419
893	0.1011141648
894	0.1009525424
895	0.1007994222
896	0.1005547997
897	0.1004409237
898	0.1003204278
899	0.1001886717
900	0.1000946344
901	0.09994394316
902	0.09971499183
903	0.09959649006
904	0.09947588685
905	0.09930648244
906	0.09922041591
907	0.09906416238
908	0.09893745457
909	0.09883766498
910	0.09869607277
911	0.09853058369
912	0.09835840445
913	0.09819009766
914	0.09797662301
915	0.09778579033
916	0.09758839127
917	0.09746878292
918	0.09741116394
919	0.09724500515
920	0.0970807205
921	0.0969648902
922	0.09686823812
923	0.09674753058
924	0.09661980258
925	0.09652303297
926	0.09638186399
927	0.09618780742
928	0.09594590941
929	0.09576457342
930	0.09564719633
931	0.09549776906
932	0.09541652169
933	0.0953141533
934	0.09521833629
935	0.09512536864
936	0.09502063532
937	0.09493254958
938	0.09475654701
939	0.09464399224
940	0.09449565908
941	0.09440813088
942	0.09422423466
943	0.09409549172
944	0.09388132598
945	0.09374214135
946	0.09363752786
947	0.09353748854
948	0.09345651389
949	0.09331337178
950	0.09318441432
951	0.09300286237
952	0.09286126036
953	0.09275784117
954	0.09258144989
955	0.09240526594
956	0.09228809889
957	0.09218125688
958	0.09199121095
959	0.09176620317
960	0.09162930141
961	0.09147280127
962	0.09122316189
963	0.09109222017
964	0.09090892587
965	0.09081113563
966	0.0906816777
967	0.09057875502
968	0.09043057119
969	0.09030762564
970	0.09017468707
971	0.09005926461
972	0.08987123052
973	0.08975332474
974	0.08964134708
975	0.08947590658
976	0.08935378934
977	0.08926765696
978	0.08906987347
979	0.08897357045
980	0.08877526822
981	0.08861679511
982	0.08854035598
983	0.08844581407
984	0.08830536629
985	0.0881862013
986	0.0881040304
987	0.08794193396
988	0.08776871342
989	0.08764382256
990	0.08753009357
991	0.08745575861
992	0.08729958369
993	0.08717788752
994	0.08698423001
995	0.08684302942
996	0.08668668376
997	0.08652594656
998	0.08639604609
999	0.08625525619
8516241256
998	0.08499523525
999	0.08485409955
